:mode=ask;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:IOInt;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;RetentiveAlarmParameters;AlarmValueDeadband;AlarmDevDeadband;EngUnits;InitialValue;MinEU;MaxEU;Deadband;LogDeadband;LoLoAlarmState;LoLoAlarmValue;LoLoAlarmPri;LoAlarmState;LoAlarmValue;LoAlarmPri;HiAlarmState;HiAlarmValue;HiAlarmPri;HiHiAlarmState;HiHiAlarmValue;HiHiAlarmPri;MinorDevAlarmState;MinorDevAlarmValue;MinorDevAlarmPri;MajorDevAlarmState;MajorDevAlarmValue;MajorDevAlarmPri;DevTarget;ROCAlarmState;ROCAlarmValue;ROCAlarmPri;ROCTimeBase;MinRaw;MaxRaw;Conversion;AccessName;ItemUseTagname;ItemName;ReadOnly;AlarmComment;AlarmAckModel;LoLoAlarmDisable;LoAlarmDisable;HiAlarmDisable;HiHiAlarmDisable;MinDevAlarmDisable;MajDevAlarmDisable;RocAlarmDisable;LoLoAlarmInhibitor;LoAlarmInhibitor;HiAlarmInhibitor;HiHiAlarmInhibitor;MinDevAlarmInhibitor;MajDevAlarmInhibitor;RocAlarmInhibitor;SymbolicName
A16_XO_4069;A16_Variables_G1;DP5S5N29;No;No;200;No;No;0;0;0010;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD500;No;LSO16 : Demande validation amorçage TTOP1/L2;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_1400;A16_Variables_G1;DP11S4N1;No;No;201;No;No;0;0;0011;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD550;No;TTJ4 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_1400;A16_Variables_G1;DP11S4N2;No;No;202;No;No;0;0;0012;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD600;No;TTJ4 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_1400;A16_Variables_G1;DP11S4N3;No;No;202;No;No;0;0;0013;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD650;No;TTJ4 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSX_1400;A16_Variables_G1;DP11S4N4;No;No;202;No;No;0;0;0014;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD700;No;TTJ4 : Niveau changement vitesse agitation cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1201;A16_Variables_G1;DP11S4N8;No;No;202;No;No;0;0;0015;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD750;No;TTJ2 : Détecteur trou d'homme bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1101;A16_Variables_G1;DP11S4N9;No;No;202;No;No;0;0;0016;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD800;No;TTJ1 : Détecteur trou d'homme bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1100;A16_Variables_G1;DP11S4N10;No;No;202;No;No;0;0;0017;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD850;No;TTJ1 : Détecteur trou d'homme haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_1200;A16_Variables_G1;DP11S4N11;No;No;202;No;No;0;0;0018;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD900;No;TTJ2 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_1200;A16_Variables_G1;DP11S4N12;No;No;202;No;No;0;0;0019;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD950;No;TTJ2 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_1200;A16_Variables_G1;DP11S4N13;No;No;202;No;No;0;0;0020;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1000;No;TTJ2 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1200;A16_Variables_G1;DP11S4N14;No;No;202;No;No;0;0;0021;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1050;No;TTJ2 : Détecteur trou d'homme haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_1100;A16_Variables_G1;DP11S4N15;No;No;202;No;No;0;0;0022;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1100;No;TTJ1 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_1100;A16_Variables_G1;DP11S4N16;No;No;202;No;No;0;0;0023;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1150;No;TTJ1 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_1100;A16_Variables_G1;DP11S4N17;No;No;202;No;No;0;0;0024;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1200;No;TTJ1 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSX_1100;A16_Variables_G1;DP11S4N18;No;No;202;No;No;0;0;0025;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1250;No;TTJ1 : Niveau changement vitesse agitation cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSX_1200;A16_Variables_G1;DP11S4N19;No;No;202;No;No;0;0;0026;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1300;No;TTJ2 : Niveau changement vitesse agitation cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_1300;A16_Variables_G1;DP11S4N20;No;No;202;No;No;0;0;0027;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1350;No;TTJ3 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_1300;A16_Variables_G1;DP11S4N21;No;No;202;No;No;0;0;0028;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1400;No;TTJ3 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_1300;A16_Variables_G1;DP11S4N22;No;No;202;No;No;0;0;0029;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1450;No;TTJ3 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSX_1300;A16_Variables_G1;DP11S4N23;No;No;202;No;No;0;0;0030;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1500;No;TTJ3 : Niveau changement vitesse agitation cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1301;A16_Variables_G1;DP11S4N24;No;No;202;No;No;0;0;0031;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1550;No;TTJ3 : Détecteur trou d'homme bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1300;A16_Variables_G1;DP11S4N25;No;No;202;No;No;0;0;0032;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1600;No;TTJ3 : Détecteur trou d'homme haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1400;A16_Variables_G1;DP11S4N26;No;No;202;No;No;0;0;0033;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1650;No;TTJ4 : Détecteur trou d'homme haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_1401;A16_Variables_G1;DP11S4N27;No;No;202;No;No;0;0;0034;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1700;No;TTJ4 : Détecteur trou d'homme bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_QT_8812;A16_Variables_G1;DP11S4N28;No;No;202;No;No;0;0;0035;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1750;No;LRM12 : Compteur ligne remplissage;0;0;0;0;0;0;0;0;;;;;;;;
A16_QT_8817;A16_Variables_G1;DP11S4N29;No;No;202;No;No;0;0;0036;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1800;No;LSO17 : Compteur ligne soutirage;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_0101;A16_Variables_G2;DP21S5N2;No;No;202;No;No;0;0;0037;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1850;No;P21 : Niveau bas BL01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_0101;A16_Variables_G2;DP21S5N3;No;No;202;No;No;0;0;0038;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1900;No;P21 : Niveau moyen BL01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_0101;A16_Variables_G2;DP21S5N4;No;No;202;No;No;0;0;0039;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD1950;No;P21 : Niveau haut BL01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_0102;A16_Variables_G2;DP21S5N5;No;No;202;No;No;0;0;0040;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2000;No;P21 : Niveau haut dégazeur DA01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_0111;A16_Variables_G2;DP21S5N6;No;No;202;No;No;0;0;0041;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2050;No;P21 : Niveau bas boucle section 1er traitement HE01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_0121;A16_Variables_G2;DP21S5N7;No;No;202;No;No;0;0;0042;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2100;No;P21 : Niveau bas bac eau BA01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_0121;A16_Variables_G2;DP21S5N8;No;No;202;No;No;0;0;0043;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2150;No;P21 : Niveau haut bac eau BA01;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_0131;A16_Variables_G2;DP21S5N9;No;No;202;No;No;0;0;0044;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2200;No;P21 : Niveau bas boucle section 2eme traitement HE2;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_0161;A16_Variables_G2;DP21S5N16;No;No;202;No;No;0;0;0045;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2250;No;CR01 : Niveau bas cuve récupération;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_0161;A16_Variables_G2;DP21S5N17;No;No;202;No;No;0;0;0046;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2300;No;CR01 : Niveau haut cuve récupération;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_2100;A16_Variables_G3;DP21S5N18;No;No;202;No;No;0;0;0047;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2350;No;TTJ11 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_2100;A16_Variables_G3;DP21S5N19;No;No;202;No;No;0;0;0048;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2400;No;TTJ11 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_2100;A16_Variables_G3;DP21S5N20;No;No;202;No;No;0;0;0049;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2450;No;TTJ11 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSL_2200;A16_Variables_G3;DP21S5N21;No;No;202;No;No;0;0;0050;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2500;No;TTJ12 : Niveau bas cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSM_2200;A16_Variables_G3;DP21S5N22;No;No;202;No;No;0;0;0051;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2550;No;TTJ12 : Niveau moyen cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_LSH_2200;A16_Variables_G3;DP21S5N23;No;No;202;No;No;0;0;0052;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2600;No;TTJ12 : Niveau haut cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_0101;A16_Variables_G2;DP21S5N24;No;No;202;No;No;0;0;0053;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2650;No;P21 : Détecteur trou d'homme BL01;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_0161;A16_Variables_G2;DP21S5N25;No;No;202;No;No;0;0;0054;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2700;No;P21 : Détecteur trou d'homme CR01;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_2100;A16_Variables_G3;DP21S5N26;No;No;202;No;No;0;0;0055;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2750;No;TTJ11 : Détecteur trou d'homme cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_2200;A16_Variables_G3;DP21S5N27;No;No;202;No;No;0;0;0056;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2800;No;TTJ12 : Détecteur trou d'homme cuve;0;0;0;0;0;0;0;0;;;;;;;;
A16_FS_0181;A16_Variables_G2;DP21S5N28;No;No;202;No;No;0;0;0057;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2850;No;P21 : Détecteur débit arrosage garniture pompe BL01;0;0;0;0;0;0;0;0;;;;;;;;
A16_FS_0184;A16_Variables_G2;DP21S5N29;No;No;202;No;No;0;0;0058;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2900;No;P21 : Détecteur débit arrosage garniture pompe DA01;0;0;0;0;0;0;0;0;;;;;;;;
A16_FS_8852;A16_Variables_G3;DP21S5N30;No;No;202;No;No;0;0;0059;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD2950;No;LSO22 : Détecteur débit arrosage garniture pompe;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_4120;A16_Variables_G3;DP21S5N32;No;No;202;No;No;0;0;0060;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD3000;No;COND.B : Détecteur pontage production TTJ1x-LSO22;0;0;0;0;0;0;0;0;;;;;;;;
A16_ZS_4121;A16_Variables_G3;DP21S6N0;No;No;202;No;No;0;0;0061;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD3050;No;COND.B : Détecteur pontage production TT-LSO17;0;0;0;0;0;0;0;0;;;;;;;;
A16_ES_0002;A16_Variables_G2;DP21S6N2;No;No;202;No;No;0;0;0062;0;-2147483648;2147483647;0;0;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;Off;0;1;0;Off;0;1;Min;-2147483648;2147483647;Linear;A16FAST;No;DB1092.DBD3100;No;CF02 : Présence arrêt d'urgence;0;0;0;0;0;0;0;0;;;;;;;;
